Vendor_ID,Vendor_Name,Vendor_Place,Phone
VEN001,Mallu,Aligarh,9876543210
VEN002,Dabbu,Hathras,9876501234
VEN003,Sonu,Kasganj,9876512345
VEN004,Santosh,,9876512345
VEN005,Trivedi,,9876512345
VEN006,Guddu,,9876512345
VEN007,Jakir,,9876512345
VEN008,Sheru,,9876512345
VEN009,Gao Pandit,,9876512345
VEN010,Pappu,,9876512345
VEN011,Abraar,,9876512345
VEN012,Munna (DJ),,9876512345
VEN013,Vishnu (DJ) ,Shahgarh,9876512345
VEN014,Ashish,,9876512345
VEN015,Kailash,,9876512345
VEN016,Patel,,9876512345
VEN017,Satendra Light,,9876512345
VEN018,Chotu Jaiswal,,9876512345
VEN019,Shagun Guest House,,9876512345
VEN020,Mohamdabbad,Mohamdabbad,9876512345
VEN021,Palival,,9876512345
VEN022,Munna (Karbala),,9876512345
VEN023,Raj Palace,,9876512345
VEN024,VKS,,9876512345
VEN025,Ankit Singh,Mohamdabbad,9876512345
VEN026,Shakutalum Guest House,,9876512345
VEN027,Guddu Light,Chatwara,9876512345
