vendor_id,vendor_name,vendor_place,phone
VEN001,Mallu,Aligarh,9876543210
VEN002,Dabbu,Hathras,9876501234
VEN003,Sonu,Kasganj,9876512345
VEN004,Santosh,nan,9876512345
VEN005,Trivedi,nan,9876512345
VEN006,Guddu,nan,9876512345
VEN007,Jakir,nan,9876512345
VEN008,Sheru,nan,9876512345
VEN009,Gao Pandit,nan,9876512345
VEN010,Pappu,nan,9876512345
VEN011,Abraar,nan,9876512345
VEN012,Munna (DJ),nan,9876512345
VEN013,Vishnu (DJ) ,Shahgarh,9876512345
VEN014,Ashish,nan,9876512345
VEN015,Kailash,nan,9876512345
VEN016,Patel,nan,9876512345
VEN017,Satendra Light,nan,9876512345
VEN018,Chotu Jaiswal,nan,9876512345
VEN019,Shagun Guest House,nan,9876512345
VEN020,Mohamdabbad,Mohamdabbad,9876512345
VEN021,Palival,nan,9876512345
VEN022,Munna (Karbala),nan,9876512345
VEN023,Raj Palace,nan,9876512345
VEN024,VKS,nan,9876512345
VEN025,Ankit Singh,Mohamdabbad,9876512345
VEN026,Shakutalum Guest House,nan,9876512345
VEN027,Guddu Light,Chatwara,9876512345
